NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chihuahua,Aquiles Serdán,1.5343296797,1.3477742869,21.2914801981,2.3124407091,1.578595009
Chihuahua,Ascensión,2.2037397757,1.7247648103,4.9836432191,2.5991747848,2.0544000701
Chihuahua,Bachíniva,1.8818089806,1.5744199724,1.1752287122,2.6228239845,1.7010752688
Chihuahua,Balleza,3.5301115407,2.1286221948,0.7221283255,4.2981993852,3.191972351
Chihuahua,Batopilas,3.6450562366,2.7661070637,0.7859121123,4.6511794139,3.6905958363
Chihuahua,Bocoyna,2.1392708461,1.8396886777,16.4556521174,2.3018710668,2.3555666719
Chihuahua,Buenaventura,1.9925936205,1.6253128775,7.1735737701,2.5512516036,1.9217748095
Chihuahua,Camargo,1.6199574245,1.4286524827,12.5271373896,2.2974247401,1.5921039012
Chihuahua,Carichí,3.5818132254,2.2065438277,0.5300794552,4.6392638037,3.1169022379
Chihuahua,Casas Grandes,2.0412460019,1.7786119358,8.8584647932,2.5709007355,2.0371368653
Chihuahua,Coronado,1.5911179616,1.4076496613,1.698989899,2.407960199,1.490687219
Chihuahua,Coyame del Sotol,1.5567575201,1.3974424913,1.0112359551,2.4090909091,1.4612634088
Chihuahua,La Cruz,1.6181841115,1.3317853817,1.6092623405,2.2861356932,1.41926885
Chihuahua,Cuauhtémoc,1.6336027944,1.5288868109,9.9907542177,2.4786047856,1.6666909669
Chihuahua,Cusihuiriachi,1.9421974327,1.6233605619,4.3724785301,3.1872246696,1.8565914489
Chihuahua,Chihuahua,1.6707193352,1.3888126089,9.665632877,2.233888152,1.6090134607
Chihuahua,Chínipas,2.5662590622,1.9673504345,1.3639511873,3.2404006678,2.3746877602
Chihuahua,Delicias,1.7413614263,1.520567737,14.9675603335,2.3001220178,1.8332254125
Chihuahua,Dr. Belisario Domínguez,1.7804888692,1.3908528594,1.532346723,2.8612716763,1.6152631579
Chihuahua,Galeana,1.9708316083,1.7297453008,1.0760719225,2.3578117299,1.8451044725
Chihuahua,Santa Isabel,1.5020931792,1.3632464986,1.6446936543,2.2826666667,1.4395400593
Chihuahua,Gómez Farías,1.7115065357,1.4382735729,5.5571907329,2.467032967,1.6182088812
Chihuahua,Gran Morelos,1.714498765,1.4254279406,2.1629881154,2.43125,1.5738317757
Chihuahua,Guachochi,3.0429313502,2.7262289232,7.8091679352,3.8441183154,3.2520740403
Chihuahua,Guadalupe,1.4736015034,1.4271380548,5.4365737252,2.4811715481,1.5269401878
Chihuahua,Guadalupe y Calvo,2.7559842269,2.4659923696,1.4068848435,4.0738871412,2.8019451491
Chihuahua,Guazapares,2.7012711681,1.8221167099,1.5860943775,3.1093860268,2.5138316657
